MARKER	PATH	SIZE_B	DATE	DECISION	REASON
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	KEEP_BEST	best of 11 copies
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (2).json/Markers_canonical.json/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical (3).json/Markers_canonical.json/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Marker_LeanDeep3.5/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/ATO_atomic/ATO_ABSOLUTIZER.yaml	1315	2025-11-22	DISCARD_IDENTICAL	same size as best (diff 0B)
ATO_ABSOLUTIZER.yaml	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_ARCHE/ATO_atomic/ATO_ABSOLUTIZER.yaml	1089	2025-11-22	DISCARD_REDUNDANT	83% of best, not newer
ATO_ACCEPTANCE_PHRASE.yaml	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_ACCEPTANCE_PHRASE.yaml	1929	2025-11-22	KEEP_UNIQUE	only instance
