MARKER	LAYER	RATING	REASON	SIZE_B	SOURCE_PATH
ATO_ABSOLUTIZER.yaml	ATO	1	13 pos, desc	1315	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ABSOLUTIZER.yaml
ATO_ACCEPTANCE_PHRASE.yaml	ATO	1	35 pos	1929	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_ACCEPTANCE_PHRASE.yaml
ATO_ACCUSATION_OF_CONTROL.yaml	ATO	1	12 pos	1017	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACCUSATION_OF_CONTROL.yaml
ATO_ACHIEVEMENT_DRIVE.yaml	ATO	1	7 pos	612	LD3.4_ALL_Marker_5.1/spiral_persona/ATO/ATO_ACHIEVEMENT_DRIVE.yaml
ATO_ACHIEVEMENT_GOAL.yaml	ATO	1	10 pos	716	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACHIEVEMENT_GOAL.yaml
ATO_ACK_MICRO.yaml	ATO	1	30 pos, 30 neg, desc	2044	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACK_MICRO.yaml
ATO_ACTION_ORIENTATION.yaml	ATO	1	20 pos, 20 neg	2172	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_ORIENTATION.yaml
ATO_ACTION_VERBS.yaml	ATO	1	10 pos	626	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ACTION_VERBS.yaml
ATO_ACTIVITY_VERB.yaml	ATO	1	33 pos	1773	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_ACTIVITY_VERB.yaml
ATO_ADHD_DISORGANIZED_THOUGHTS.yaml	ATO	1	20 pos, 20 neg, desc	1889	ATO_ADHD_DISORGANIZED_THOUGHTS.yaml
ATO_AFFECTION_SHOW.yaml	ATO	1	20 pos, 20 neg, desc	1382	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_AFFECTION_SHOW.yaml
ATO_AFFECT_FLAT.yaml	ATO	1	30 pos, 30 neg, desc	2080	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_AFFECT_FLAT.yaml
ATO_AFFILIATION_PHRASE.yaml	ATO	1	32 pos	1787	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_AFFILIATION_PHRASE.yaml
ATO_AMBIGUITY_QUOTES.yaml	ATO	1	11 pos	1524	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_AMBIGUITY_QUOTES.yaml
ATO_AMBIVALENZ.yaml	ATO	1	10 pos	732	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_AMBIVALENZ.yaml
ATO_ANCHORING_PHRASES.yaml	ATO	1	10 pos	1940	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_ANCHORING_PHRASES.yaml
